site,depth_num,depth_name,treatment,rep,W1_tube_cap_g,soil_g,W2,W3_resid_tube_soil_7_g,soln_tube_soil_13_g,C3,C4,F,AEC,unique_ID,unique_ID_short,KCl_NO3_blank_corrected_ug_N_L,pH_DI,ph_1M_KCl,bulk_density,years_soy,years_maize,years_since_deforested
APP4,6,0-1,maize,pink,13.005,0.2052,13.2102,13.6605,48.8571,163.138,5.9385,0.968665135,1.961517748,APP4_5_6_p,APP4_5_6,587.5094,6.16,6.08,1.268006873,13,4,26
APP4,7,0-1,maize,pink,12.9708,0.228,13.1988,13.5971,45.3161,165.851,4.6824,0.898700025,1.160825952,APP4_6_7_p,APP4_6_7,170.31125,6.22,6.03,1.30137457,13,4,26
APP4,8,2-Jan,maize,pink,13.0186,0.2016,13.2202,13.6501,44.8078,150.944,6.8099,0.917900704,2.289715456,APP4_7_8_p,APP4_7_8,350.24565,6.25,6.18,1.281408935,13,4,26
APP5,1,0-1,maize,orange,12.9886,0.2187,13.2073,13.5247,39.9579,226.712,5.2744,0.917900704,0.97140501,APP5_0_1_o,APP5_0_1,78.07355,5.79,5.11,1.223069874,13,5,28
APP5,2,2-Jan,maize,orange,12.9021,0.166,13.0681,13.4004,36.7685,160.171,4.0545,0.917900704,0.793562221,APP5_1_2_o,APP5_1_2,390.2626,5.15,5.1,1.172027491,13,5,28
APP5,3,3-Feb,maize,orange,12.9884,0.1287,13.1171,,,217.988,49.21894219,0.917900704,,,__,1832.1505,4.99,5.19,1.204467354,13,5,28
APP5,4,4-Mar,maize,orange,12.9119,0.1716,13.0835,13.4716,39.2627,226.078,5.645,0.917900704,1.075176734,APP5_3_4_o,APP5_3_4,1834.8465,5.26,5.58,1.22242268,13,5,28
APP5,5,5-Apr,maize,orange,12.8607,0.1905,13.0512,13.4034,37.0567,221.007,6.6788,0.917900704,1.330619171,APP5_4_5_o,APP5_4_5,792.56085,5.46,5.54,1.197955326,13,5,28
APP5,6,6-May,maize,orange,12.9095,0.1537,13.0632,13.4161,42.9859,223.799,5.8786,0.917900704,1.937817516,APP5_5_6_o,APP5_5_6,367.9837,5.5,5.46,1.174003436,13,5,28
APP5,7,7-Jun,maize,orange,12.9822,0.1643,13.1465,13.5407,38.3821,158.771,6.1743,0.917900704,1.743590297,APP5_6_7_o,APP5_6_7,250.0613,5.55,5.34,1.182714777,13,5,28
APP5,8,8-Jul,maize,orange,12.9359,0.1485,13.0844,13.4074,43.023,116.864,4.8591,0.917900704,2.229213958,APP5_7_8_o,APP5_7_8,233.88425,5.49,5.21,1.247164948,13,5,28
APP5,1,0-1,maize,pink,12.9537,0.1945,13.1482,13.5063,35.8563,155.596,3.6426,0.917900704,0.426537106,APP5_0_1_p,APP5_0_1,78.07355,5.79,5.11,1.223069874,13,5,28
APP5,2,2-Jan,maize,pink,12.9428,0.1645,13.1073,13.3974,35.8744,223.508,4.377,0.917900704,0.650299552,APP5_1_2_p,APP5_1_2,390.2626,5.15,5.1,1.172027491,13,5,28
APP5,3,3-Feb,maize,pink,12.8877,0.1486,13.0363,13.4702,41.1867,219.867,6.7688,0.917900704,1.96749902,APP5_2_3_p,APP5_2_3,1832.1505,4.99,5.19,1.204467354,13,5,28
APP5,4,4-Mar,maize,pink,12.8582,0.1095,12.9677,,,219.013,6.7688,0.902736282,,,__,1834.8465,5.26,5.58,1.22242268,13,5,28
APP5,5,5-Apr,maize,pink,12.9243,0.177,13.1013,13.4625,34.73962222,219.213,6.6756,0.917900704,1.133144564,APP5_4_5_p,APP5_4_5,792.56085,5.46,5.54,1.197955326,13,5,28
APP5,6,6-May,maize,pink,12.964,0.1817,13.1457,13.5448,35.9424,220.135,5.962,0.917900704,0.812760326,APP5_5_6_p,APP5_5_6,367.9837,5.5,5.46,1.174003436,13,5,28
APP5,7,7-Jun,maize,pink,12.9404,0.1984,13.1388,13.4559,35.0566,221.409,7.0256,0.917900704,1.297579376,APP5_6_7_p,APP5_6_7,250.0613,5.55,5.34,1.182714777,13,5,28
APP5,8,8-Jul,maize,pink,12.912,0.1794,13.0914,13.4569,39.4602,217.533,6.0077,0.917900704,1.351597274,APP5_7_8_p,APP5_7_8,233.88425,5.49,5.21,1.247164948,13,5,28
MT110,1,0-1,maize,orange,12.9307,0.1554,13.0861,13.4429,36.4421,153.739,3.8688,0.930640244,0.692486382,MT110_0_1_o,MT110_0_1,435.48575,4.97,4.37,1.223069874,13,7,28
MT110,2,2-Jan,maize,orange,12.8807,0.1443,13.025,13.3747,34.9419,147.194,5.0876,0.910439262,1.288851714,MT110_1_2_o,MT110_1_2,977.8435,4.74,4.88,1.172027491,13,7,28
MT110,3,3-Feb,maize,orange,12.8613,0.1509,13.0122,13.3088,35.7829,142.915,4.363,0.907278628,1.17351023,MT110_2_3_o,MT110_2_3,4099.7415,4.88,5.3,1.204467354,13,7,28
MT110,4,4-Mar,maize,orange,12.8903,0.1584,13.0487,13.3943,36.2651,145.586,7.1585,0.90583774,2.277981536,MT110_3_4_o,MT110_3_4,6488.6975,4.83,5.43,1.22242268,13,7,28
MT110,5,5-Apr,maize,orange,12.8406,0.1401,12.9807,13.3056,35.6636,136.241,5.6482,0.904925121,1.865580883,MT110_4_5_o,MT110_4_5,2377.0255,5.22,5.49,1.197955326,13,7,28
MT110,6,6-May,maize,orange,12.9229,0.1432,13.0661,13.3737,35.8347,143.487,5.6479,0.909563164,1.828996267,MT110_5_6_o,MT110_5_6,758.07815,5.68,5.5,1.174003436,13,7,28
MT110,7,7-Jun,maize,orange,12.8446,0.1412,12.9858,13.3588,38.3223,150.737,7.6619,0.88843729,3.100647593,MT110_6_7_o,MT110_6_7,716.2164,5.53,5.28,1.182714777,13,7,28
MT110,8,8-Jul,maize,orange,12.8826,0.1681,13.0507,13.3957,35.8863,144.519,9.3243,0.922123613,2.967263044,MT110_7_8_o,MT110_7_8,736.6506,5.43,5.51,1.247164948,13,7,28
MT110,1,0-1,maize,pink,12.9064,0.1711,13.0775,13.3853,36.821,155.342,3.4978,0.930640244,0.624163905,MT110_0_1_p,MT110_0_1,435.48575,4.97,4.37,1.223069874,13,7,28
MT110,2,2-Jan,maize,pink,12.8161,0.1547,12.9708,13.314,34.5094,152.371,5.4937,0.910439262,1.322409482,MT110_1_2_p,MT110_1_2,977.8435,4.74,4.88,1.172027491,13,7,28
MT110,3,3-Feb,maize,pink,12.902,0.1614,13.0634,13.3439,35.6087,151.063,6.7224,0.907278628,2.10313515,MT110_2_3_p,MT110_2_3,4099.7415,4.88,5.3,1.204467354,13,7,28
MT110,4,4-Mar,maize,pink,12.9283,0.1475,13.0758,13.3781,36.5417,147.449,6.3237,0.90583774,2.191669468,MT110_3_4_p,MT110_3_4,6488.6975,4.83,5.43,1.22242268,13,7,28
MT110,5,5-Apr,maize,pink,12.9995,0.1463,13.1458,,,147.237,33.95448954,0.909563164,,,__,2377.0255,5.22,5.49,1.197955326,13,7,28
MT110,6,6-May,maize,pink,12.9588,0.1269,13.0857,,,148.845,79.01845018,0.88843729,,,__,758.07815,5.68,5.5,1.174003436,13,7,28
MT110,7,7-Jun,maize,pink,12.8738,0.1488,13.0226,13.2968,34.7429,145.579,7.7628,0.88843729,2.745812118,MT110_6_7_p,MT110_6_7,716.2164,5.53,5.28,1.182714777,13,7,28
MT110,8,8-Jul,maize,pink,12.8847,0.1584,13.0431,13.3273,34.9141,151.644,7.5668,0.922123613,2.363582845,MT110_7_8_p,MT110_7_8,736.6506,5.43,5.51,1.247164948,13,7,28
MT5?,1,7-Jun,maize,orange,13.0493,0.2153,13.2646,13.6244,40.7793,168.31,5.7512,0.922123613,1.387841786,MT5?_0_1_o,MT5?_0_1,307.9583,5,4.24,1.223069874,14,8,34
MT5?,2,8-Jul,maize,orange,13.1248,0.206,13.3308,13.7037,45.5812,168.807,5.555,0.922123613,1.725469926,MT5?_1_2_o,MT5?_1_2,234.87765,4.83,4.8,1.172027491,14,8,34
MT5?,3,0-1,maize,orange,13.0661,0.1998,13.2659,13.6419,44.9472,164.892,5.5677,0.922123613,1.751298779,MT5?_2_3_o,MT5?_2_3,1118.089,4.92,5.26,1.204467354,14,8,34
MT5?,4,0-1,maize,orange,13.0473,0.215,13.2623,13.6825,43.2976,166.052,5.9541,0.922123613,1.551591708,MT5?_3_4_o,MT5?_3_4,4233.1315,4.93,5.44,1.22242268,14,8,34
